"TIME","GEO","INDIC_ET","SITC06","PARTNER","Value","Flag and Footnotes"
"2010","European Union - 27 countries (from 2020)","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)",":",""
"2010","European Union - 27 countries (from 2020)","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)",":",""
"2010","European Union - 28 countries (2013-2020)","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","100.0",""
"2010","European Union - 28 countries (2013-2020)","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","100.0",""
"2010","Belgium","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","6.0",""
"2010","Belgium","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","6.1",""
"2010","Bulgaria","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.5",""
"2010","Bulgaria","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.4",""
"2010","Czechia","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.6",""
"2010","Czechia","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.2",""
"2010","Denmark","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.2",""
"2010","Denmark","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.8",""
"2010","Germany (until 1990 former territory of the FRG)","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","19.1",""
"2010","Germany (until 1990 former territory of the FRG)","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","27.8",""
"2010","Estonia","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.1",""
"2010","Estonia","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.2",""
"2010","Ireland","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.1",""
"2010","Ireland","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","2.8",""
"2010","Greece","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.5",""
"2010","Greece","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.7",""
"2010","Spain","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","6.6",""
"2010","Spain","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","4.4",""
"2010","France","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","9.5",""
"2010","France","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","11.4",""
"2010","Croatia","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.4",""
"2010","Croatia","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.3",""
"2010","Italy","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","10.8",""
"2010","Italy","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","10.5",""
"2010","Cyprus","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.1",""
"2010","Cyprus","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.0",""
"2010","Latvia","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.1",""
"2010","Latvia","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.2",""
"2010","Lithuania","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.5",""
"2010","Lithuania","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.5",""
"2010","Luxembourg","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.2",""
"2010","Luxembourg","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.2",""
"2010","Hungary","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.4",""
"2010","Hungary","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.1",""
"2010","Malta","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.1",""
"2010","Malta","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.1",""
"2010","Netherlands","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","13.4",""
"2010","Netherlands","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","7.3",""
"2010","Austria","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.7",""
"2010","Austria","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","2.4",""
"2010","Poland","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","2.6",""
"2010","Poland","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.8",""
"2010","Portugal","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.9",""
"2010","Portugal","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.7",""
"2010","Romania","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.8",""
"2010","Romania","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.8",""
"2010","Slovenia","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.4",""
"2010","Slovenia","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.4",""
"2010","Slovakia","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.9",""
"2010","Slovakia","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.6",""
"2010","Finland","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.2",""
"2010","Finland","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.8",""
"2010","Sweden","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","2.4",""
"2010","Sweden","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","3.8",""
"2010","United Kingdom","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","14.8",""
"2010","United Kingdom","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","10.9",""
"2011","European Union - 27 countries (from 2020)","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)",":",""
"2011","European Union - 27 countries (from 2020)","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)",":",""
"2011","European Union - 28 countries (2013-2020)","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","100.0",""
"2011","European Union - 28 countries (2013-2020)","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","100.0",""
"2011","Belgium","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","6.3",""
"2011","Belgium","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","6.2",""
"2011","Bulgaria","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.5",""
"2011","Bulgaria","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.5",""
"2011","Czechia","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.6",""
"2011","Czechia","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.3",""
"2011","Denmark","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.2",""
"2011","Denmark","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.8",""
"2011","Germany (until 1990 former territory of the FRG)","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","19.0",""
"2011","Germany (until 1990 former territory of the FRG)","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","27.6",""
"2011","Estonia","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.2",""
"2011","Estonia","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.3",""
"2011","Ireland","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.0",""
"2011","Ireland","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","2.5",""
"2011","Greece","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.3",""
"2011","Greece","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.7",""
"2011","Spain","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","6.7",""
"2011","Spain","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","4.7",""
"2011","France","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","9.8",""
"2011","France","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","10.7",""
"2011","Croatia","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.4",""
"2011","Croatia","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.2",""
"2011","Italy","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","10.7",""
"2011","Italy","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","10.5",""
"2011","Cyprus","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.1",""
"2011","Cyprus","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.0",""
"2011","Latvia","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.2",""
"2011","Latvia","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.2",""
"2011","Lithuania","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.6",""
"2011","Lithuania","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.5",""
"2011","Luxembourg","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.2",""
"2011","Luxembourg","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.2",""
"2011","Hungary","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.3",""
"2011","Hungary","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.2",""
"2011","Malta","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.1",""
"2011","Malta","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.1",""
"2011","Netherlands","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","13.2",""
"2011","Netherlands","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","7.1",""
"2011","Austria","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.8",""
"2011","Austria","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","2.3",""
"2011","Poland","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","2.6",""
"2011","Poland","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.9",""
"2011","Portugal","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.9",""
"2011","Portugal","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.7",""
"2011","Romania","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.9",""
"2011","Romania","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.8",""
"2011","Slovenia","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.4",""
"2011","Slovenia","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.4",""
"2011","Slovakia","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.9",""
"2011","Slovakia","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.6",""
"2011","Finland","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.3",""
"2011","Finland","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.6",""
"2011","Sweden","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","2.3",""
"2011","Sweden","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","3.8",""
"2011","United Kingdom","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","14.6",""
"2011","United Kingdom","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","11.7",""
"2012","European Union - 27 countries (from 2020)","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)",":",""
"2012","European Union - 27 countries (from 2020)","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)",":",""
"2012","European Union - 28 countries (2013-2020)","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","100.0",""
"2012","European Union - 28 countries (2013-2020)","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","100.0",""
"2012","Belgium","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","6.2",""
"2012","Belgium","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","6.2",""
"2012","Bulgaria","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.6",""
"2012","Bulgaria","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.5",""
"2012","Czechia","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.5",""
"2012","Czechia","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.4",""
"2012","Denmark","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.2",""
"2012","Denmark","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.8",""
"2012","Germany (until 1990 former territory of the FRG)","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","18.2",""
"2012","Germany (until 1990 former territory of the FRG)","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","27.9",""
"2012","Estonia","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.2",""
"2012","Estonia","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.3",""
"2012","Ireland","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.1",""
"2012","Ireland","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","2.2",""
"2012","Greece","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.4",""
"2012","Greece","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.9",""
"2012","Spain","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","6.7",""
"2012","Spain","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","5.0",""
"2012","France","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","9.6",""
"2012","France","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","10.8",""
"2012","Croatia","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.3",""
"2012","Croatia","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.2",""
"2012","Italy","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","9.9",""
"2012","Italy","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","10.6",""
"2012","Cyprus","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.1",""
"2012","Cyprus","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.0",""
"2012","Latvia","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.2",""
"2012","Latvia","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.2",""
"2012","Lithuania","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.6",""
"2012","Lithuania","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.5",""
"2012","Luxembourg","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.3",""
"2012","Luxembourg","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.2",""
"2012","Hungary","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.2",""
"2012","Hungary","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.1",""
"2012","Malta","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.1",""
"2012","Malta","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.1",""
"2012","Netherlands","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","13.9",""
"2012","Netherlands","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","7.3",""
"2012","Austria","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.8",""
"2012","Austria","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","2.3",""
"2012","Poland","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","2.8",""
"2012","Poland","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","2.0",""
"2012","Portugal","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.9",""
"2012","Portugal","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.8",""
"2012","Romania","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.8",""
"2012","Romania","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.8",""
"2012","Slovenia","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.4",""
"2012","Slovenia","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.4",""
"2012","Slovakia","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.9",""
"2012","Slovakia","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.6",""
"2012","Finland","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.2",""
"2012","Finland","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.6",""
"2012","Sweden","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","2.3",""
"2012","Sweden","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","3.4",""
"2012","United Kingdom","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","15.8",""
"2012","United Kingdom","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","10.9",""
"2013","European Union - 27 countries (from 2020)","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)",":",""
"2013","European Union - 27 countries (from 2020)","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)",":",""
"2013","European Union - 28 countries (2013-2020)","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","100.0",""
"2013","European Union - 28 countries (2013-2020)","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","100.0",""
"2013","Belgium","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","6.8",""
"2013","Belgium","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","6.1",""
"2013","Bulgaria","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.6",""
"2013","Bulgaria","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.5",""
"2013","Czechia","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.5",""
"2013","Czechia","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.3",""
"2013","Denmark","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.3",""
"2013","Denmark","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.7",""
"2013","Germany (until 1990 former territory of the FRG)","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","18.6",""
"2013","Germany (until 1990 former territory of the FRG)","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","27.0",""
"2013","Estonia","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.1",""
"2013","Estonia","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","0.2",""
"2013","Ireland","Share of imports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","1.1",""
"2013","Ireland","Share of exports by Member State (%)","Total - all products","Extra-EU28 (2013-2020)","2.2",""
